terminal,time,cpu,memory
urxvt,00.37,174,14640
urxvt,00.39,175,14780
urxvt,00.39,174,14884
urxvt,00.38,175,14900
urxvt,00.38,174,14932
urxvt,00.38,174,14852
urxvt,00.39,173,14676
urxvt,00.37,176,14800
urxvt,00.38,175,14864
urxvt,00.39,173,14720
urxvt,00.39,175,14740
urxvt,00.39,172,14900
urxvt,00.38,172,14968
urxvt,00.39,173,14728
urxvt,00.38,173,14716
urxvt,00.38,174,14808
urxvt,00.37,171,14716
urxvt,00.39,175,14784
