terminal,time,cpu,memory
alacritty,00.51,157,29412
alacritty,00.49,159,29560
alacritty,00.49,160,29260
alacritty,00.49,159,29732
alacritty,00.51,160,29604
alacritty,00.49,161,29672
alacritty,00.49,163,29600
alacritty,00.49,163,29404
alacritty,00.49,164,29536
alacritty,00.49,163,29504
alacritty,00.49,161,29608
alacritty,00.49,163,29768
alacritty,00.49,162,29256
alacritty,00.49,159,29672
alacritty,00.51,157,29632
alacritty,00.49,159,29760
alacritty,00.49,161,29748
alacritty,00.50,157,29256
alacritty,00.49,163,29220
alacritty,00.48,162,29208
alacritty,00.49,159,29144
alacritty,00.49,161,29152
alacritty,00.49,163,29504
alacritty,00.49,161,29540
alacritty,00.49,161,29080
alacritty,00.51,156,29292
alacritty,00.49,159,29516
alacritty,00.49,163,29624
alacritty,00.49,163,29628
alacritty,00.49,162,29644
alacritty,00.50,160,29736
alacritty,00.49,163,29384
alacritty,00.49,162,29124
alacritty,00.49,159,29600
alacritty,00.48,162,29524
alacritty,00.51,159,29876
alacritty,00.49,158,29776
alacritty,00.49,159,29664
alacritty,00.49,159,29392
alacritty,00.49,161,29628
alacritty,00.49,163,29248
alacritty,00.49,161,29716
alacritty,00.49,161,29632
alacritty,00.49,162,29732
alacritty,00.53,156,29784
alacritty,00.49,162,29772
alacritty,00.49,162,29496
alacritty,00.49,165,29172
alacritty,00.48,162,29820
alacritty,00.48,162,29664
alacritty,00.48,162,29740
alacritty,00.49,163,29632
alacritty,00.49,164,29624
alacritty,00.50,161,29624
alacritty,00.49,159,29304
alacritty,00.51,159,29500
alacritty,00.49,160,29504
alacritty,00.49,161,29732
alacritty,00.49,160,29508
alacritty,00.49,159,29212
alacritty,00.48,163,29260
alacritty,00.49,163,29676
alacritty,00.49,160,29552
alacritty,00.49,160,29784
alacritty,00.48,162,29644
alacritty,00.50,162,29632
alacritty,00.49,163,29704
alacritty,00.49,161,29488
alacritty,00.49,160,29220
alacritty,00.49,160,29432
alacritty,00.49,160,29824
alacritty,00.51,160,29476
alacritty,00.49,159,29484
alacritty,00.49,160,29836
alacritty,00.51,157,29612
alacritty,00.49,161,29748
alacritty,00.49,159,29672
alacritty,00.51,161,29424
alacritty,00.49,160,29528
alacritty,00.49,160,29496
alacritty,00.49,158,29880
alacritty,00.49,161,29840
alacritty,00.49,163,29428
alacritty,00.49,160,29828
alacritty,00.49,162,29232
alacritty,00.49,161,29660
alacritty,00.49,159,29324
alacritty,00.49,159,29508
alacritty,00.49,162,29200
alacritty,00.49,161,29632
alacritty,00.49,159,29496
alacritty,00.51,160,29488
alacritty,00.49,160,29596
alacritty,00.49,158,29696
alacritty,00.49,162,29756
alacritty,00.49,160,29520
alacritty,00.49,164,29520
alacritty,00.49,164,29188
alacritty,00.49,163,29876
alacritty,00.51,159,29660
